"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2009,7,15,2,98.2003599280144,3334
2009,7,16,1,98.6587771203156,2535
2009,7,16,2,98.424543946932,2412
2009,7,NA,1,64.2857142857143,98
2009,7,NA,2,60.5769230769231,104
2009,NA,-3,1,83.9443155452436,2155
2009,NA,-3,2,84.2351716961498,1922
2009,NA,-3,NA,0,744
2009,NA,-2,1,77.5967413441955,491
2009,NA,-2,2,76.1061946902655,452
2009,NA,-2,NA,0,123
2009,NA,1,1,66.5012406947891,403
2009,NA,1,2,64.4549763033175,422
2009,NA,1,NA,0,122
2009,NA,2,1,61.0223642172524,313
2009,NA,2,2,54.5171339563863,321
2009,NA,2,NA,0,67
2009,NA,3,1,60.4651162790698,301
2009,NA,3,2,59.6837944664032,253
2009,NA,3,NA,0,76
2009,NA,4,1,69.7619047619048,420
2009,NA,4,2,67.4479166666667,384
2009,NA,4,NA,0,93
2009,NA,5,1,76.9911504424779,339
2009,NA,5,2,69.6969696969697,330
2009,NA,5,NA,0,62
2009,NA,6,1,73.2258064516129,620
2009,NA,6,2,70.7592891760905,619
2009,NA,6,NA,0,136
2009,NA,7,1,72.4183006535948,765
2009,NA,7,2,75.6643356643357,715
2009,NA,7,NA,0,152
2009,NA,8,1,77.4193548387097,806
2009,NA,8,2,78.375,800
2009,NA,8,NA,0,147
2009,NA,9,1,84.0989399293286,849
2009,NA,9,2,82.6296743063932,829
2009,NA,9,NA,0,139
2009,NA,10,1,81.2680115273775,694
2009,NA,10,2,85.8394160583942,685
2009,NA,10,NA,0,116
2009,NA,11,1,92.4061433447099,1172
2009,NA,11,2,93.3691756272401,1116
2009,NA,11,NA,0,203
2009,NA,12,1,96.0636515912898,1194
2009,NA,12,2,95.9165154264973,1102
2009,NA,12,NA,0,138
2009,NA,13,1,96.1365099806825,1553
2009,NA,13,2,96.8519758874749,1493
2009,NA,13,NA,0,212
2009,NA,14,1,98.0181200453001,1766
2009,NA,14,2,97.5526465566306,1757
2009,NA,14,NA,0,195
2009,NA,15,1,99.0243902439024,1640
2009,NA,15,2,98.7492182614134,1599
2009,NA,15,NA,0,174
2009,NA,16,1,99.4979079497908,1195
2009,NA,16,2,99.3670886075949,1106
2009,NA,16,NA,0,121
2009,NA,NA,1,72.7272727272727,66
2009,NA,NA,2,76.6666666666667,60
2009,NA,NA,NA,0,14551
2011,4,NA,1,85.9590316573557,2685
2011,4,NA,2,85.0110213078619,2722
2011,5,NA,1,83.416087388282,4028
2011,5,NA,2,81.7355964618695,4183
2011,6,NA,1,83.887399463807,7460
2011,6,NA,2,83.9740389415876,8012
2011,7,NA,1,78.7000233808744,34216
2011,7,NA,2,76.7183920016663,38408
2011,NA,NA,1,71.3214847055979,16542
2011,NA,NA,2,72.0431480181273,15667
2011,NA,NA,NA,0,18337
2013,NA,NA,NA,60.4465497511776,150308
2015,4,1,1,90.6976744186046,86
2015,4,1,2,90.990990990991,111
2015,4,2,1,93.4782608695652,46
2015,4,2,2,90.2439024390244,41
2015,4,3,1,92.8571428571429,42
2015,4,3,2,86.9565217391304,46
2015,4,4,1,86.046511627907,43
2015,4,4,2,86.1538461538462,65
2015,4,5,1,89.1304347826087,46
2015,4,5,2,85.4166666666667,48
2015,4,6,1,84.3373493975904,83
2015,4,6,2,88.0434782608696,92
2015,4,7,1,89.4736842105263,133
2015,4,7,2,94.5454545454545,110
2015,4,8,1,94.2857142857143,105
2015,4,8,2,88.2882882882883,111
2015,4,9,1,92.5619834710744,121
2015,4,9,2,92.9203539823009,113
2015,4,10,1,86.6666666666667,105
2015,4,10,2,93.3333333333333,90
2015,4,11,1,89.9441340782123,179
2015,4,11,2,94.375,160
2015,4,12,1,90.9677419354839,155
2015,4,12,2,90.9547738693467,199
2015,4,13,1,94.2528735632184,261
2015,4,13,2,93.2432432432432,222
2015,4,14,1,95.9183673469388,294
2015,4,14,2,95.1219512195122,287
2015,4,15,1,96.8944099378882,322
2015,4,15,2,95.0980392156863,306
2015,4,16,1,94.1379310344828,290
2015,4,16,2,95.4887218045113,266
2015,5,1,1,92.2535211267606,142
2015,5,1,2,95.1690821256039,207
2015,5,2,1,90.3614457831325,83
2015,5,2,2,90,90
2015,5,3,1,95.9183673469388,98
2015,5,3,2,92.9292929292929,99
2015,5,4,1,77.0833333333333,96
2015,5,4,2,91.4473684210526,152
2015,5,5,1,95.3488372093023,86
2015,5,5,2,97.196261682243,107
2015,5,6,1,93.7888198757764,161
2015,5,6,2,94.4444444444444,162
2015,5,7,1,92.4107142857143,224
2015,5,7,2,92.1259842519685,254
2015,5,8,1,92.3357664233577,274
2015,5,8,2,93.4065934065934,273
2015,5,9,1,93.1558935361217,263
2015,5,9,2,91.7293233082707,266
2015,5,10,1,88.0952380952381,210
2015,5,10,2,94.1964285714286,224
2015,5,11,1,91.4127423822715,361
2015,5,11,2,93.2394366197183,355
2015,5,12,1,91.8840579710145,345
2015,5,12,2,95.7317073170732,328
2015,5,13,1,93.0521091811414,403
2015,5,13,2,97.2906403940887,406
2015,5,14,1,96.127562642369,439
2015,5,14,2,94.8598130841121,428
2015,5,15,1,93.7915742793791,451
2015,5,15,2,94.2065491183879,397
2015,5,16,1,93.2551319648094,341
2015,5,16,2,89.8461538461538,325
2015,6,1,1,86.4321608040201,199
2015,6,1,2,81.25,240
2015,6,2,1,88.7755102040816,98
2015,6,2,2,89.7637795275591,127
2015,6,3,1,84.2105263157895,95
2015,6,3,2,88.3333333333333,120
2015,6,4,1,89.7260273972603,146
2015,6,4,2,87.0813397129187,209
